name,type,region,locality,geolocation
VI monument Lenin,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Peaceful,"(Decimal('113.978683'), Decimal('62.541003'))"
VI monument Lenin,"Monuments, sculptures, memorials",Republic of Bashkortostan,Ufa,"(Decimal('55.943213'), Decimal('54.718088'))"
VI monument Lenin,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.681965'), Decimal('58.590395'))"
VI monument Lenin,"Monuments, sculptures, memorials",Ulyanovsk region,Ulyanovsk,"(Decimal('48.386001'), Decimal('54.313015'))"
VI monument Lenin,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.826925'), Decimal('56.203623'))"
VI monument Lenin,"Monuments, sculptures, memorials",Kostroma region,Kostroma,"(Decimal('40.942992'), Decimal('57.787978'))"
VI monument Lenin,"Monuments, sculptures, memorials",Republic of Adygea,Maikop,"(Decimal('40.10322'), Decimal('44.611592'))"
VI monument Lenin,"Monuments, sculptures, memorials",Republic of Kalmykia,Elista,"(Decimal('44.261638'), Decimal('46.307319'))"
VI monument Lenin,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.513238'), Decimal('48.705319'))"
VI monument Lenin,"Monuments, sculptures, memorials",Sevastopol,,"(Decimal('33.523384'), Decimal('44.610957'))"
VI monument Lenin square in the center of aesthetic education (TSEVD them. Beloglazova),"Monuments, sculptures, memorials",Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
VI monument Lenin in Lenin Square,"Monuments, sculptures, memorials",Amur region,,"(Decimal('127.728064'), Decimal('53.413341'))"
VI monument Muravlenko,"Monuments, sculptures, memorials",Yamalo-Nenets Autonomous Okrug,Muravlenko,"(Decimal('74.519951'), Decimal('63.784387'))"
monument to Lenin,"Monuments, sculptures, memorials",Perm,Permian,"(Decimal('56.22364'), Decimal('58.008614'))"
monument to Lenin,"Monuments, sculptures, memorials",Irkutsk region,Irkutsk,"(Decimal('104.280831'), Decimal('52.283809'))"
monument to Lenin,"Monuments, sculptures, memorials",Yaroslavskaya oblast,,Not found
Monument VK Kokkinaki,"Monuments, sculptures, memorials",Krasnodar region,Novorossiysk,"(Decimal('37.341511'), Decimal('45.003748'))"
VM monument Golovnin,"Monuments, sculptures, memorials",Ryazan Oblast,Starozhilovo,Not found
VM monument Shukshin on the Mount Picket,"Monuments, sculptures, memorials",Altai region,splices,"(Decimal('79.917847'), Decimal('52.160526'))"
VM monument I am. Vasnetsov,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.689313'), Decimal('58.521682'))"
VP monument Chkalov,"Monuments, sculptures, memorials",Novosibirsk region,Novosibirsk,"(Decimal('83.112921'), Decimal('54.96623'))"
VS monument Wysocki,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.190711'), Decimal('51.653383'))"
VS monument Holzunova,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.513238'), Decimal('48.705319'))"
VF monument Rudnev,"Monuments, sculptures, memorials",Tula region,Tula,Not found
monument V.Ya.Eroshenko,"Monuments, sculptures, memorials",Belgorod region,Obukhovka,"(Decimal('37.978956'), Decimal('51.180424'))"
Monument to Valentina Leontieva,"Monuments, sculptures, memorials",Ulyanovsk region,Ulyanovsk,"(Decimal('48.403123'), Decimal('54.314192'))"
Monument Valery Remizov,"Monuments, sculptures, memorials",Yamalo-Nenets Autonomous Okrug,,Not found
Monument Varlaam Shalamov,"Monuments, sculptures, memorials",Perm,Krasnovishersk,"(Decimal('57.083301'), Decimal('60.412821'))"
Monument Barnabas Vetluzhsky,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Barnabas,"(Decimal('45.087863'), Decimal('57.401874'))"
Monument to Vasily Zavoiko,"Monuments, sculptures, memorials",Kamchatka Krai,Petropavlovsk-Kamchatsky,"(Decimal('158.673956'), Decimal('52.955639'))"
Monument to the Great Princess Olga,"Monuments, sculptures, memorials",Pskov region,Pskov,"(Decimal('28.331786'), Decimal('57.810021'))"
Monument Velimir Khlebnikov,"Monuments, sculptures, memorials",Republic of Kalmykia,Derbety,"(Decimal('44.67621'), Decimal('47.951388'))"
Monument to Victor Tsoi,"Monuments, sculptures, memorials",Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
Monument Vyte Cherevychkynu,"Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
Monument to Vladimir Vernadsky,"Monuments, sculptures, memorials",Tambov Region,Tambov,"(Decimal('41.832692'), Decimal('52.435401'))"
Monument to Vladimir Vysotsky,"Monuments, sculptures, memorials",Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
Monument to Vladimir Vysotsky,"Monuments, sculptures, memorials",Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Monument to Vladimir Vysotsky,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
Vladimir Lenin Monument,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument to soldiers-countrymen,"Monuments, sculptures, memorials",Volgograd region,Zhirnovsk,"(Decimal('44.778834'), Decimal('50.978713'))"
Monument to soldiers-the Cossacks - the defenders of the Fatherland,"Monuments, sculptures, memorials",Astrakhan region,Astrakhan,Not found
Monument to the Liberator Soldier,military glory,Pskov region,Idrica,"(Decimal('28.887152'), Decimal('56.332072'))"
Monument Vjatskoj Print,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.721706'), Decimal('58.605133'))"
GV monument Sviridov,"Monuments, sculptures, memorials",Kursk region,Kursk,"(Decimal('36.193186'), Decimal('51.73083'))"
Monument GY Bahchivandzhi,"Monuments, sculptures, memorials",Sverdlovsk region,Koltsovo,"(Decimal('59.850121'), Decimal('58.700192'))"
Monument Gabriel Chiryaevu,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Neryungri,"(Decimal('124.720315'), Decimal('56.659948'))"
monument Gavryusha,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Pamyatnik Gamzatu ble,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Garibaldi monument,"Monuments, sculptures, memorials",Rostov region,Taganrog,"(Decimal('38.941752'), Decimal('47.205876'))"
Monument to Heydar Aliyev,"Monuments, sculptures, memorials",Astrakhan region,Astrakhan,"(Decimal('48.033574'), Decimal('46.347869'))"
Monument Gene Bukin,"Monuments, sculptures, memorials",Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Monument Hennadyyu Zavolokynu,"Monuments, sculptures, memorials",Novosibirsk region,new Sharap,"(Decimal('82.03214'), Decimal('54.409923'))"
Monument to the Hero of the Soviet Union VP Chkalov,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.885235'), Decimal('56.268196'))"
Monument to the Hero of the Soviet Union NV Mamonov,military glory,Kaliningrad region,Mamonovo,"(Decimal('19.942267'), Decimal('54.463785'))"
Monument to the Hero of the Soviet Union sniper David Doev,military glory,Republic of North Ossetia - Alania,,"(Decimal('44.262033'), Decimal('43.092669'))"
Monument to the Heroes of the Great Patriotic War,"Monuments, sculptures, memorials",Novosibirsk region,Novosibirsk,"(Decimal('83.112921'), Decimal('54.96623'))"
Monument to the Heroes of the Civil War,"Monuments, sculptures, memorials",Sverdlovsk region,Nizhny Tagil,Not found
Monument to the Heroes of Labor during the Great Patriotic War,military glory,Omsk region,Omsk,"(Decimal('73.368212'), Decimal('54.989342'))"
"Monument to the Heroes, Severomorsk, defenders of the Arctic",military glory,Murmansk region,Severomorsk,Not found
The monument to Herzen,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.721706'), Decimal('58.605133'))"
Monument soil Assumption,"Monuments, sculptures, memorials",Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
Monument to Maxim Gorky and Chaliapin,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
monument Gromozeka,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
monument Gulliver,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
monument Geser,"Monuments, sculptures, memorials",The Republic of Buryatia,,"(Decimal('112.348699'), Decimal('54.544222'))"
Monument DN Mamin-Siberian,"Monuments, sculptures, memorials",Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Monument Ustinov,"Monuments, sculptures, memorials",Udmurt republic,Izhevsk,"(Decimal('53.206891'), Decimal('56.852676'))"
monument D.G.Burylinu,"Monuments, sculptures, memorials",Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
A monument to John Lennon,"Monuments, sculptures, memorials",Altai region,,"(Decimal('85.88531'), Decimal('52.088187'))"
Monument Dzaugu Bugulov,"Monuments, sculptures, memorials",Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
Monument Valiant ancestors Vyazma,"Monuments, sculptures, memorials",Smolensk region,Vyazma,Not found
monument Dobroliubov,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument to Dr. Dolittle,"Monuments, sculptures, memorials",Krasnodar region,Anapa,"(Decimal('37.31617'), Decimal('44.894965'))"
Monument to Don Quixote,"Monuments, sculptures, memorials",Omsk region,Omsk,"(Decimal('73.368212'), Decimal('54.989342'))"
Monument Uncle Stepan,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument EA and ME Cherepanov,"Monuments, sculptures, memorials",Sverdlovsk region,Nizhny Tagil,Not found
EA monument Boratynsky,"Monuments, sculptures, memorials",Tambov Region,Tambov,"(Decimal('41.37289'), Decimal('52.787119'))"
Monument to EI Nosov,"Monuments, sculptures, memorials",Kursk region,Kursk,Not found
Monument EP Leonov,"Monuments, sculptures, memorials",Moscow,,Not found
Monument EP Khabarov,"Monuments, sculptures, memorials",Khabarovsk region,Khabarovsk,"(Decimal('135.071917'), Decimal('48.480223'))"
Monument Evgeny Evstigneev,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument Evgeny Savitsky,"Monuments, sculptures, memorials",Krasnodar region,Novorossiysk,"(Decimal('37.768974'), Decimal('44.723912'))"
Monument Euphemia Suzdal and Macarius Zheltovodsky,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
The monument to Catherine II,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('29.750424'), Decimal('59.920343'))"
The monument to Catherine II,"Monuments, sculptures, memorials",Sverdlovsk region,Irbit,Not found
The monument to Catherine II,"Monuments, sculptures, memorials",Sevastopol,,"(Decimal('33.489912'), Decimal('44.499691'))"
Monument Yelets Infantry Regiment,"Monuments, sculptures, memorials",Lipetsk region,Dace,Not found
Monument Elizabeth,"Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
Monument Emelyan Pugachev,"Monuments, sculptures, memorials",The Republic of Mordovia,Saransk,"(Decimal('45.183938'), Decimal('54.187433'))"
monument to Ermak,"Monuments, sculptures, memorials",Altai region,,"(Decimal('85.88531'), Decimal('52.088187'))"
Monument Yerofei Khabarov,"Monuments, sculptures, memorials",Vologda Region,great Ustyug,"(Decimal('46.29784'), Decimal('60.761156'))"
Monument to Efim Slavsky,"Monuments, sculptures, memorials",Altai region,Belokurikha,"(Decimal('84.984004'), Decimal('51.99606'))"
monument Waiting,"Monuments, sculptures, memorials",Murmansk region,Murmansk,"(Decimal('33.074981'), Decimal('68.970682'))"
Monument to Jules Verne,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument SE Gerdt,"Monuments, sculptures, memorials",Pskov region,Sebezh,"(Decimal('28.508161'), Decimal('56.332277'))"
Monument Zagir Ismagilov,"Monuments, sculptures, memorials",Republic of Bashkortostan,Ufa,"(Decimal('55.98679'), Decimal('54.707369'))"
"Monument to defenders of Smolensk August 4-5, 1812","Monuments, sculptures, memorials",Smolensk region,Smolensk,Not found
Monument to the defenders of the Fatherland,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Monument Zaya Pandita,"Monuments, sculptures, memorials",Republic of Kalmykia,Ulan Hol,"(Decimal('46.853331'), Decimal('45.438468'))"
Monument to Zoya Kosmodemyanskoy,"Monuments, sculptures, memorials",Tambov Region,,"(Decimal('41.832692'), Decimal('52.435401'))"
Monument to Zoya Kosmodemyanskoy,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Monument to Zoya Kosmodemyanskoy in the Moscow Victory Park,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Monument to Zoya Kosmodemyanskoy Rybinsk,"Monuments, sculptures, memorials",Yaroslavskaya oblast,Rybinsk,"(Decimal('38.811254'), Decimal('58.059569'))"
Monument Zurab Magkaevu,"Monuments, sculptures, memorials",Republic of North Ossetia - Alania,lower Zaramag,"(Decimal('43.969452'), Decimal('42.69495'))"
Monument IA Bunin,"Monuments, sculptures, memorials",Tula region,Efremov,"(Decimal('38.093033'), Decimal('53.148681'))"
Monument to Ivan Krylov in the Summer Garden,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Monument of ID Pastukhov,"Monuments, sculptures, memorials",Udmurt republic,Izhevsk,"(Decimal('53.206891'), Decimal('56.852676'))"
Monument IA Bunin,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.62342'), Decimal('55.766552'))"
Monument IA Bunin,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.143639'), Decimal('51.690247'))"
Monument IA Bunin in Yelets,"Monuments, sculptures, memorials",Lipetsk region,Dace,"(Decimal('38.498451'), Decimal('52.621823'))"
Monument IA Goncharov,"Monuments, sculptures, memorials",Ulyanovsk region,,"(Decimal('47.742978'), Decimal('54.707473'))"
Monument IA Krylov,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.62342'), Decimal('55.766552'))"
Monument I.A.Obolenskomu-Nogotkov,"Monuments, sculptures, memorials",Mari El Republic,Yoshkar-Ola,"(Decimal('47.886681'), Decimal('56.631466'))"
Monument IE Repin,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.659569'), Decimal('55.767261'))"
II monument Polzunova,"Monuments, sculptures, memorials",Altai region,Barnaul,"(Decimal('83.787744'), Decimal('53.329311'))"
IN monument Ulyanov,"Monuments, sculptures, memorials",Astrakhan region,Astrakhan,"(Decimal('47.989036'), Decimal('46.315256'))"
IN monument and MA Ulyanov,"Monuments, sculptures, memorials",Penza region,Penza,"(Decimal('44.985411'), Decimal('53.212097'))"
Monument IP Kulibin,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
IS monument Klyuchnikova-Palantayu,"Monuments, sculptures, memorials",Mari El Republic,Yoshkar-Ola,"(Decimal('47.886178'), Decimal('56.631595'))"
IS monument Nikitin,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.200269'), Decimal('51.660781'))"
Monument to Ivan Kulbertinovu,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Oljokminsk,"(Decimal('120.403075'), Decimal('60.372976'))"
Monument to Ivan Konev,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.721706'), Decimal('58.605133'))"
Monument to Ivan Susanin,"Monuments, sculptures, memorials",Kostroma region,Kostroma,"(Decimal('40.926858'), Decimal('57.767961'))"
IL-28 monument,military glory,Vologda Region,Vologda,"(Decimal('39.891523'), Decimal('59.220496'))"
A monument to Ilya Muromets,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Monument Ilmutdinu Nasrutdinovu,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.583105'), Decimal('42.933113'))"
Monument Immanuel Kant,"Monuments, sculptures, memorials",Kaliningrad region,Kaliningrad,"(Decimal('20.512733'), Decimal('54.710454'))"
Monument to Joseph Brodsky,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
Monument Irchi Cazacu,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.509533'), Decimal('42.963007'))"
Monument Isaac Levitan,"Monuments, sculptures, memorials",Ivanovo region,Dance,"(Decimal('41.512254'), Decimal('57.460578'))"
Monument Isidore Barahovu,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Yakutsk,"(Decimal('129.664885'), Decimal('62.031436'))"
Monument Issa Pliev,military glory,Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
Monument KI Bistro,"Monuments, sculptures, memorials",Leningrad region,Kingisepp,"(Decimal('28.568753'), Decimal('59.401299'))"
Monument K. Lucko,"Monuments, sculptures, memorials",Krasnodar region,Krasnodar,"(Decimal('38.910167'), Decimal('45.040311'))"
KA monument Treneva,"Monuments, sculptures, memorials",Republic of Crimea,,Not found
Monument KG Paustovsky in Tarusa,"Monuments, sculptures, memorials",Kaluga region,Tarusa,Not found
Monument KK Rokossovsky,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Monument KN Batyushkov,"Monuments, sculptures, memorials",Vologda Region,Vologda,"(Decimal('39.891523'), Decimal('59.220496'))"
Monument KE Tsiolkovsky,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Monument of Tsiolkovsky in Borovsk,"Monuments, sculptures, memorials",Kaluga region,Borowski,"(Decimal('36.541741'), Decimal('55.215662'))"
Pencil Monument and Blot the Dog,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
Monument to Karl Marx,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Yakutsk,"(Decimal('129.664885'), Decimal('62.031436'))"
Monument to Karl Marx,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
Monument Katri Paavolaynen,"Monuments, sculptures, memorials",Leningrad region,May Day,"(Decimal('29.738269'), Decimal('60.358241'))"
Monument to Cyril and Methodius,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,Not found
Monument to Cyril and Methodius,"Monuments, sculptures, memorials",Mari El Republic,Yoshkar-Ola,Not found
Monument to Cyril and Methodius,"Monuments, sculptures, memorials",Murmansk region,Murmansk,Not found
Monument to Cyril and Methodius,"Monuments, sculptures, memorials",Sevastopol,,"(Decimal('33.489912'), Decimal('44.499691'))"
Monument Claudia Nazarova,"Monuments, sculptures, memorials",Pskov region,Isle,"(Decimal('28.363497'), Decimal('57.347509'))"
Monument to Prince Vladimir,"Monuments, sculptures, memorials",Smolensk region,,Not found
Monument Kole Myagotinu,"Monuments, sculptures, memorials",Kurgan region,Mound,"(Decimal('65.341118'), Decimal('55.441004'))"
Monument to Konstantin Vorobyov,"Monuments, sculptures, memorials",Kursk region,Kursk,"(Decimal('36.193186'), Decimal('51.73083'))"
Monument kitten in the street Lizyukova,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
Monument kitten in the street Lizyukova,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
Monument Cat Kazan,"Monuments, sculptures, memorials",Republic of Tatarstan,Kazan,"(Decimal('49.195554'), Decimal('55.695885'))"
Monument Cat Semen,"Monuments, sculptures, memorials",Murmansk region,Murmansk,"(Decimal('33.074981'), Decimal('68.970682'))"
Monument Kristijonas Donelaitis,"Monuments, sculptures, memorials",Kaliningrad region,,Not found
Monument Kudym-Oshu,"Monuments, sculptures, memorials",Perm,Kudymkar,"(Decimal('54.664183'), Decimal('59.014548'))"
Book Pamyatnik Kuzebayu,"Monuments, sculptures, memorials",Udmurt republic,Izhevsk,"(Decimal('53.206891'), Decimal('56.852676'))"
The monument to Kuzma Minin,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
His Pamyatnik,"Monuments, sculptures, memorials",Astrakhan region,Astrakhan,"(Decimal('48.026046'), Decimal('46.318661'))"
Monument Podolsk cadets of military schools,"Monuments, sculptures, memorials",Moscow region,Podolsk,"(Decimal('37.539697'), Decimal('55.416141'))"
monument to Kutuzov,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Monument Krasin,"Monuments, sculptures, memorials",Kurgan region,Mound,"(Decimal('65.341118'), Decimal('55.441004'))"
Monument to Leo Tolstoy,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
LI monument Brezhnev,"Monuments, sculptures, memorials",Krasnodar region,Novorossiysk,"(Decimal('37.768974'), Decimal('44.723912'))"
LN monument thick,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
LN monument thick,"Monuments, sculptures, memorials",Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
Monument Larissa Popugaeva,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Successful,"(Decimal('112.252283'), Decimal('66.413649'))"
Monument Le Corbusier,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.617635'), Decimal('55.755814'))"
monument Lefty,"Monuments, sculptures, memorials",Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
Monument Leningrad children,military glory,Leningrad region,,"(Decimal('29.706298'), Decimal('61.162446'))"
Lenin monument,"Monuments, sculptures, memorials",Primorsky Krai,Партизанск,"(Decimal('133.123246'), Decimal('43.119813'))"
Lenin monument,"Monuments, sculptures, memorials",The Republic of Khakassia,Abakan,"(Decimal('89.711307'), Decimal('54.638632'))"
Monument Leonid Gaidai,"Monuments, sculptures, memorials",Irkutsk region,Irkutsk,"(Decimal('104.281047'), Decimal('52.287054'))"
monument Lermontov,"Monuments, sculptures, memorials",Tambov Region,Tambov,"(Decimal('41.832692'), Decimal('52.435401'))"
monument to Lomonosov,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
monument to Los,"Monuments, sculptures, memorials",Udmurt republic,Izhevsk,"(Decimal('53.206891'), Decimal('56.852676'))"
monument Lyubochka,"Monuments, sculptures, memorials",Omsk region,Omsk,"(Decimal('73.368212'), Decimal('54.989342'))"
Ludvig Nobel Monument,"Monuments, sculptures, memorials",Yaroslavskaya oblast,,Not found
Monument to Mikhail Sholokhov,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
Monument to Mikhail Sholokhov,"Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
Monument to Mikhail Lomonosov,"Monuments, sculptures, memorials",Udmurt republic,Izhevsk,"(Decimal('53.222926'), Decimal('56.84932'))"
Monument to Mikhail Lomonosov,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
Monument to Mikhail Lomonosov on Moss,"Monuments, sculptures, memorials",Moscow,,Not found
Monument to Mikhail Glinka,"Monuments, sculptures, memorials",Novosibirsk region,Novosibirsk,"(Decimal('82.965821'), Decimal('55.049689'))"
Monument MI Platov,"Monuments, sculptures, memorials",Rostov region,Novocherkassk,"(Decimal('40.093725'), Decimal('47.422052'))"
Monument to Mikhail Bakhtin,"Monuments, sculptures, memorials",The Republic of Mordovia,Saransk,"(Decimal('45.183938'), Decimal('54.187433'))"
Monument MN Efimov,"Monuments, sculptures, memorials",Leningrad region,,"(Decimal('29.706298'), Decimal('61.162446'))"
Monument to Mikhail Kalashnikov,"Monuments, sculptures, memorials",Udmurt republic,Izhevsk,"(Decimal('53.206891'), Decimal('56.852676'))"
Monument to Mikhail Lermontov,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
MV monument Lomonosov,"Monuments, sculptures, memorials",Arhangelsk region,University,"(Decimal('41.732261'), Decimal('64.229093'))"
MV monument Lomonosov,"Monuments, sculptures, memorials",Krasnodar region,Krasnodar,"(Decimal('38.975313'), Decimal('45.03547'))"
Monument ME Pyatnitskoe,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
Monument to Saltykov-Shchedrin,"Monuments, sculptures, memorials",Leningrad region,Lebyazhe,"(Decimal('29.417256'), Decimal('59.958444'))"
Monument MI Glinka,"Monuments, sculptures, memorials",Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Monument MI Kalinin,"Monuments, sculptures, memorials",Kaliningrad region,,Not found
Monument MI Kutuzov,"Monuments, sculptures, memorials",Kaliningrad region,Kaliningrad,"(Decimal('20.512733'), Decimal('54.710454'))"
Monument MI Kutuzov,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
Monument MI Kutuzov,"Monuments, sculptures, memorials",Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Monument MI Kutuzov near the village of Tsarevo-Zaymische,"Monuments, sculptures, memorials",Smolensk region,Tsarevo-Zaymishte,Not found
Monument M.I.Tsvetaevoy in Tarusa,"Monuments, sculptures, memorials",Kaluga region,Tarusa,"(Decimal('37.165522'), Decimal('54.715613'))"
Monument MO Mikeshin,"Monuments, sculptures, memorials",Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Monument MY Lermontov,"Monuments, sculptures, memorials",Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
Monument Magomed Hajiyev,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Monument to Maxim Gorky,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument to Maxim Gorky on the waterfront,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.826925'), Decimal('56.203623'))"
sailor monument,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
monument Mowgli,"Monuments, sculptures, memorials",Leningrad region,Priozersk,"(Decimal('30.119838'), Decimal('61.036554'))"
Monument Mahach Dahadaevu,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Monument MiG-29,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
Monument to Minin and Pozharsky,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
